channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
Bad Lip Reading,92,476570575,5180114.95,14866609,3.96
Kylie Jenner,10,461064419,46106441.9,0,0.0
Clash Royale,39,452178999,11594333.31,8236806,2.21
ShawnMendesVEVO,58,442730335,7633281.64,25455119,8.09
Hannah Stocking,101,439432466,4350816.5,14514510,4.29
WWE,157,437968663,2789609.32,6714593,2.21
ChainsmokersVEVO,54,427248452,7912008.37,14545713,4.95
GEazyMusicVEVO,31,415888915,13415771.45,10929141,4.4
Lucas the Spider,72,414149390,5752074.86,19296471,5.53
CelineDionVEVO,22,409354166,18607007.55,9121405,2.53
SamSmithWorldVEVO,44,406081391,9229122.52,10274814,3.87
SiaVEVO,58,403858747,6963081.84,11927823,4.41
æ°å¨ç¾é³æ¨ JVR Music,28,399614335,14271940.54,3360193,1.25
The Film Theorists,102,397542779,3897478.23,11520630,3.97
EnriqueIglesiasVEVO,32,388850902,12151590.69,5379605,1.97
FifthHarmonyVEVO,26,385305225,14819431.73,15450708,5.3
Lele Pons,68,380567124,5596575.35,16193116,4.75
Rita Ora,33,371685481,11263196.39,7858125,3.23
BackstreetBoysVEVO,27,364499372,13499976.74,9901946,3.29
Charlie Puth,83,362988734,4373358.24,12110658,5.15
LiamPayneVEVO,25,356668800,14266752.0,8899354,6.55
Walt Disney Animation Studios,25,351946816,14077872.64,5852693,2.29
The Weeknd,15,350967234,23397815.6,7624992,2.97
SMTOWN,72,345614221,4800197.51,31226522,11.71
INSIDER,167,342052217,2048216.87,4121487,2.17
Kurzgesagt â In a Nutshell,115,338422896,2942807.79,19378917,6.56
CAguileraVEVO,49,337366384,6885028.24,12726699,4.66
